athlete_id,athlete_display_name,team_id,team_display_name
5177149,Michael Houge,2473,Oakland Golden Grizzlies
5177164,Mosi Clayton,2561,Siena Saints
5177167,Mike Evbagharu,2099,Canisius Golden Griffins
5177169,Max Frazier,2115,Central Connecticut Blue Devils
5177172,Derek Sangster,29,Redlands Bulldogs
5177173,Jacob Huggins,163,Princeton Tigers
5177174,Jackson Hicke,163,Princeton Tigers
5177175,Dalen Davis,163,Princeton Tigers
5177185,Trevor Mullin,43,Yale Bulldogs
5177186,Jeannot Basima,43,Yale Bulldogs
5177187,Samson Aletan,43,Yale Bulldogs
5177188,Ryan Sabol,2084,Buffalo Bulls
5177189,Anquan Boldin Jr,50,Florida A&M Rattlers
5177192,Bryce Darbyshire,94,Northern Kentucky Norse
5177193,Randall Pettus II,2210,Elon Phoenix
5177207,Tuburu Naivalurua,2473,Oakland Golden Grizzlies
5177211,Alvaro Folgueiras,2294,Iowa Hawkeyes
5177215,Solomon Callaghan,2750,Wright State Raiders
5177217,Carson Schwieger,2511,Queens University Royals
5177218,Dayjaun Anderson,5,UAB Blazers
5177219,Kaden Brown,88,Southern Indiana Screaming Eagles
5177227,Gabe Dynes,30,USC Trojans
5177229,Darin Smith Jr.,2115,Central Connecticut Blue Devils
5177232,Jameel Morris,2016,Alcorn State Braves
5177233,Terrence Brown,254,Utah Utes
5177247,AJ Dancler,324,Coastal Carolina Chanticleers
5177248,Deng Garang,2330,Le Moyne Dolphins
5177250,Trent Mosquera,2330,Le Moyne Dolphins
5177251,Kaelin Thomas,2330,Le Moyne Dolphins
5177252,Ocypher Owens,2627,Tarleton State Texans
5177260,Eric Acker,2325,La Salle Explorers
5177262,Tre'shawn Sheppard,112358,Long Island University Sharks
5177264,Nikola Djapa,36,Colorado State Rams
5177275,Adam Clark,2550,Seton Hall Pirates
5177278,Jaden Battle,128531,Roberts Wesleyan Redhawks
5177281,Lucius Gibson-Savadel,2529,Sacred Heart Pioneers
5177284,Ace Talbert,2241,Gardner-Webb Runnin' Bulldogs
5177286,Eli Wilborn,256,James Madison Dukes
5177290,Ryen Gresko,2598,Saint Francis Red Flash
5177291,KJ Swain Jr.,2598,Saint Francis Red Flash
5177297,Louie Semona,98,Western Kentucky Hilltoppers
5177298,Todd Brogna,2771,Merrimack Warriors
5177301,Melvin Council Jr.,2305,Kansas Jayhawks
5177341,Nakyel Shelton,2351,Loyola Marymount Lions
5177345,Colin Ruffin,2403,Missouri Southern State Lions
5177346,Jaylon McDaniel,2815,Lindenwood Lions
5177350,Jeremiah Talton,2815,Lindenwood Lions
5177351,Christian Hughes,2031,Little Rock Trojans
5177352,Bradley Douglas,256,James Madison Dukes
5177355,Cougar Downing,2378,UMBC Retrievers
5177358,Jerone Morton,265,Washington State Cougars
5177359,Eddie Ricks III,256,James Madison Dukes
5177360,George Marshall,2413,Morehead State Eagles
5177364,Jordan Pickett,2565,SIU Edwardsville Cougars
5177367,BJ Ward,2546,Southeast Missouri State Redhawks
5177368,TJ Biel,311,Maine Black Bears
5177370,Marqueas Bell,2546,Southeast Missouri State Redhawks
5177374,Luther Smith Jr.,2605,Saint Leo Monarchs
5177516,Chrishawn Christmas,2617,Stephen F. Austin Lumberjacks
5177520,Bilal Abdur-Rahman,2010,Alabama A&M Bulldogs
5177521,AC Bryant,55,Jacksonville State Gamecocks
5177522,Clance Crosby,3126,Mid-America Christian Evangels
5177526,Chad Moodie,2026,App State Mountaineers
5177530,Micah Octave,50,Florida A&M Rattlers
5177532,Ubong Okon,2523,Robert Morris Colonials
5177533,Sean Smith,2393,Middle Tennessee Blue Raiders
5177534,Stephen Byard,2130,Chicago State Cougars
5177536,Alex Tsynkevich,2275,Hofstra Pride
5177537,Jaylon Hicks,2573,Southern New Orleans Knights
5177538,Jalyke Gaines-Wyatt,2261,Hampton Pirates
5177539,Djahi Binet,2572,Southern Miss Golden Eagles
5177557,Roderick Coffee III,2755,Grambling Tigers
5177558,K'Jei Parker,113,Massachusetts Minutemen
5177572,Kintavious Dozier,2010,Alabama A&M Bulldogs
5177573,Mikale Stevenson,2870,Purdue Fort Wayne Mastodons
5177575,Cbo Newton,2000,Abilene Christian Wildcats
5177579,Delyle Williams,2296,Jackson State Tigers
