athlete_id,3PA,3P%,streak_score,p_value,runs_z_score,runs_p_value
5093265,104,0.41346153846153844,-0.19767441860465118,0.917,1.9423380476777505,0.052096189852700175
5241955,48,0.375,-0.19803921568627453,0.947,0.9351035261676447,0.3497349495236496
4895759,50,0.24,-0.19856459330143542,0.903,1.0894970893403235,0.2759347377016984
5108022,48,0.2916666666666667,-0.1990950226244344,0.886,0.9459239230082321,0.3441873905831154
5175021,39,0.2564102564102564,-0.1992337164750958,0.739,0.6987999967090719,0.4846770306033047
5239795,7,0.7142857142857143,-0.19999999999999996,0.17,-0.37977726265637507,0.704110761806024
5319276,11,0.45454545454545453,-0.19999999999999996,0.664,0.02916059217599047,0.9767365107453935
5242546,55,0.2727272727272727,-0.19999999999999998,1.0,1.4418874093735772,0.14933413865114303
5241932,6,0.16666666666666666,-0.2,1.0,-0.3535533905932744,0.7236736098317627
5242976,14,0.21428571428571427,-0.2,0.707,0.6770032003863299,0.4984039238004654
5108047,7,0.14285714285714285,-0.2,1.0,1.7392527130926083,0.081990321000383
5314192,7,0.14285714285714285,-0.2,1.0,1.7392527130926083,0.081990321000383
5259047,8,0.25,-0.2,0.529,0.5400617248673217,0.5891544654500582
5121428,13,0.15384615384615385,-0.2,1.0,0.14069371488316204,0.8881119105028887
5241880,7,0.14285714285714285,-0.2,1.0,1.7392527130926083,0.081990321000383
5185543,13,0.15384615384615385,-0.2,1.0,0.14069371488316204,0.8881119105028887
5243407,19,0.15789473684210525,-0.2,1.0,0.419444205536853,0.6748915230109513
5313726,14,0.21428571428571427,-0.2,1.0,0.6770032003863299,0.4984039238004654
5107306,6,0.16666666666666666,-0.2,0.51,-0.3535533905932744,0.7236736098317627
5313691,13,0.15384615384615385,-0.2,1.0,0.14069371488316204,0.8881119105028887
5320169,7,0.14285714285714285,-0.2,1.0,1.7392527130926083,0.081990321000383
5187937,7,0.14285714285714285,-0.2,1.0,1.7392527130926083,0.081990321000383
5316101,7,0.14285714285714285,-0.2,1.0,1.7392527130926083,0.081990321000383
5241472,6,0.16666666666666666,-0.2,0.336,-0.3535533905932744,0.7236736098317627
5101692,13,0.15384615384615385,-0.2,1.0,0.14069371488316204,0.8881119105028887
5107890,37,0.16216216216216217,-0.2,1.0,0.909308307703892,0.36318740655737725
5241294,7,0.14285714285714285,-0.2,1.0,1.7392527130926083,0.081990321000383
4897301,7,0.14285714285714285,-0.2,1.0,1.7392527130926083,0.081990321000383
5311501,13,0.15384615384615385,-0.2,1.0,0.14069371488316204,0.8881119105028887
5182079,13,0.15384615384615385,-0.2,1.0,0.14069371488316204,0.8881119105028887
5110432,8,0.25,-0.2,0.474,0.5400617248673217,0.5891544654500582
5313079,18,0.16666666666666666,-0.2,1.0,0.4609772228646444,0.6448149466467327
5101654,13,0.15384615384615385,-0.2,1.0,0.14069371488316204,0.8881119105028887
5175953,13,0.15384615384615385,-0.2,1.0,0.14069371488316204,0.8881119105028887
5313198,6,0.16666666666666666,-0.2,1.0,-0.3535533905932744,0.7236736098317627
4873136,6,0.16666666666666666,-0.2,1.0,-0.3535533905932744,0.7236736098317627
4873137,16,0.3125,-0.2,0.654,0.3808775370892692,0.7032941212429455
5326126,7,0.2857142857142857,-0.2,0.338,-0.37977726265637507,0.704110761806024
5180735,8,0.25,-0.2,0.441,0.5400617248673217,0.5891544654500582
5315062,43,0.16279069767441862,-0.2,1.0,1.028538018515336,0.303696816670488
5241480,13,0.15384615384615385,-0.2,1.0,0.14069371488316204,0.8881119105028887
5313082,7,0.14285714285714285,-0.2,1.0,1.7392527130926083,0.081990321000383
5317362,7,0.14285714285714285,-0.2,1.0,1.7392527130926083,0.081990321000383
5313377,7,0.14285714285714285,-0.2,1.0,1.7392527130926083,0.081990321000383
5183131,7,0.14285714285714285,-0.2,1.0,1.7392527130926083,0.081990321000383
5318853,14,0.21428571428571427,-0.2,0.633,0.6770032003863299,0.4984039238004654
5177351,7,0.14285714285714285,-0.2,1.0,1.7392527130926083,0.081990321000383
5313921,12,0.16666666666666666,-0.2,0.344,0.19820624179302226,0.8428837041239062
5313931,13,0.15384615384615385,-0.2,1.0,0.14069371488316204,0.8881119105028887
5243265,32,0.1875,-0.2,0.629,0.45210132093990213,0.6511959921192364
5188800,7,0.14285714285714285,-0.2,1.0,1.7392527130926083,0.081990321000383
5184640,13,0.15384615384615385,-0.2,1.0,0.14069371488316204,0.8881119105028887
5241391,13,0.15384615384615385,-0.2,1.0,0.14069371488316204,0.8881119105028887
5311887,61,0.3442622950819672,-0.2,0.963,1.2775163409568613,0.20142001505120488
5311734,7,0.14285714285714285,-0.2,1.0,1.7392527130926083,0.081990321000383
5259956,7,0.14285714285714285,-0.2,1.0,1.7392527130926083,0.081990321000383
5247511,6,0.16666666666666666,-0.2,0.32,-0.3535533905932744,0.7236736098317627
4703194,7,0.14285714285714285,-0.2,1.0,1.7392527130926083,0.081990321000383
5324372,7,0.14285714285714285,-0.2,1.0,1.7392527130926083,0.081990321000383
5221320,7,0.14285714285714285,-0.2,1.0,1.7392527130926083,0.081990321000383
5250363,8,0.25,-0.2,0.449,0.5400617248673217,0.5891544654500582
5225519,6,0.16666666666666666,-0.2,0.244,-0.3535533905932744,0.7236736098317627
5113415,7,0.14285714285714285,-0.2,1.0,1.7392527130926083,0.081990321000383
5314458,18,0.16666666666666666,-0.2,0.705,0.4609772228646444,0.6448149466467327
5321189,7,0.14285714285714285,-0.2,1.0,1.7392527130926083,0.081990321000383
5323234,7,0.14285714285714285,-0.2,1.0,1.7392527130926083,0.081990321000383
5252623,7,0.14285714285714285,-0.2,1.0,1.7392527130926083,0.081990321000383
5316468,7,0.14285714285714285,-0.2,1.0,1.7392527130926083,0.081990321000383
5321959,13,0.15384615384615385,-0.2,1.0,0.14069371488316204,0.8881119105028887
5322189,7,0.14285714285714285,-0.2,1.0,1.7392527130926083,0.081990321000383
5241238,7,0.14285714285714285,-0.2,1.0,1.7392527130926083,0.081990321000383
5105432,7,0.14285714285714285,-0.2,1.0,1.7392527130926083,0.081990321000383
5112334,47,0.425531914893617,-0.2,0.848,1.0627102647179711,0.2879133644399693
5318075,13,0.15384615384615385,-0.2,1.0,0.14069371488316204,0.8881119105028887
5114464,7,0.14285714285714285,-0.2,1.0,1.7392527130926083,0.081990321000383
5239560,25,0.16,-0.2,1.0,0.6163360527099888,0.5376727488320636
5322058,7,0.14285714285714285,-0.2,1.0,1.7392527130926083,0.081990321000383
5250100,6,0.16666666666666666,-0.2,0.336,-0.3535533905932744,0.7236736098317627
